"id";"left";"top";"right";"bottom";"centrdY";"centrdX";"swo";"pgo";"ioo";"all_sp"
150;-14.524;34.9955;-13.524;33.9955;34.496;-14.024;13.4120540833685;3.91002006687374;0.144793850007117;17.4668680002494
153;-14.524;31.9955;-13.524;30.9955;31.496;-14.024;14.9917456618221;3.54018226457263;0.183363807293161;18.7152917336879
154;-14.524;30.9955;-13.524;29.9955;30.496;-14.024;16.5626882791746;3.4686484987901;0.198387055006719;20.2297238329715
166;-13.524;38.9955;-12.524;37.9955;38.496;-13.024;14.278688621759;5.11665904068427;0.179826404661165;19.5751740671044
167;-13.524;37.9955;-12.524;36.9955;37.496;-13.024;13.9059241590887;4.67100158567095;0.173899964525238;18.7508257092848
168;-13.524;36.9955;-12.524;35.9955;36.496;-13.024;13.6268282981517;4.30351954060805;0.168169899376722;18.0985177381365
169;-13.524;35.9955;-12.524;34.9955;35.496;-13.024;13.533617116633;4.04244902802579;0.162630655624083;17.7386968002829
171;-13.524;33.9955;-12.524;32.9955;33.496;-13.024;14.1263665387077;3.75131146596207;0.152099351925279;18.029777356595
173;-13.524;31.9955;-12.524;30.9955;31.496;-13.024;16.245796946942;3.53280272041224;0.142259150738646;19.9208588180929
174;-13.524;30.9955;-12.524;29.9955;30.496;-13.024;18.212341272082;3.37858940532256;0.137584466850093;21.7285151442547
175;-13.524;29.9955;-12.524;28.9955;29.502;-13.016;21.1182178127789;3.16414716953549;0.132611706923045;24.4149766892374
187;-12.524;37.9955;-11.524;36.9955;37.496;-12.024;12.8122980794876;5.78834755074208;0.292293843079587;18.8929394733092
188;-12.524;36.9955;-11.524;35.9955;36.496;-12.024;13.0033507438533;5.28449875072216;0.251672939909181;18.5395224344846
189;-12.524;35.9955;-11.524;34.9955;35.496;-12.024;13.2153243206944;4.84109438021271;0.216698367743709;18.2731170686508
207;-11.524;37.9955;-10.524;36.9955;37.496;-11.024;11.5604018084561;8.34201221816795;0.516683900010369;20.4190979266344
208;-11.524;36.9955;-10.524;35.9955;36.496;-11.024;12.1809887756361;7.37926761865777;0.396096660279275;19.9563530545732
209;-11.524;35.9955;-10.524;34.9955;35.496;-11.024;12.7089393354436;6.39213652773863;0.303651895990548;19.4047277591728
227;-10.524;37.9955;-9.524;36.9955;37.496;-10.024;10.1680161549916;12.4425474244203;0.891953211115192;23.5025167905271
228;-10.524;36.9955;-9.524;35.9955;36.496;-10.024;11.1986436793664;10.1964678820095;0.610073681663819;22.0051852430396
229;-10.524;35.9955;-9.524;34.9955;35.496;-10.024;12.1447587385454;8.04909142534665;0.417271322721675;20.6111214866137
